ticker,report_date,period_type,fiscal_year,fiscal_quarter,revenue,net_income,total_debt,total_assets,equity,operating_income,ebitda
CNRU,2025-12-31,year,2025,,15156,2862,65,6016,5951,3370,3570
CNRU,2024-12-31,year,2024,,12987,2464,79,10088,10009,3027,3207
